hash,block_number,index,status,pnl_heuristic,gross_profit,miner_tip,tx_cost,pnl
0x0f2d00b8075ea4737bbbb36f8970440fe63b28ed1ff8fd94b5ddbcc15ed558df,13564393,0,1,2,0.21066421550821327,0.09290291903912243,0.03175859814665191,0.08600269832243893
0x101717e685fb5926a20b9020c70d14db945a2dd395aa66d56bc92680db770077,13744662,93,1,2,0.012709966323285289,0.00366047030110608,0.005668036741520831,0.0033814592806583775
0x113658f97731097a1e562b5729e26abc6c06201e99586c4250069ba4b0ad7799,13759124,0,1,2,0.40264384609358383,0.1960875530475751,0.024859191702304412,0.18169710134370434
0x124ccbf8ab4ecf3b96999dfb302573b4cf73838c5bcd151d424e628232608a77,13740344,0,1,2,0.014691532319402532,0.001939282266161116,0.011923065242586219,0.0008291848106551977
0x125d050ff6b044596229df82c1d3c97de1f3c622576c172230283f58658711a9,13664551,4,1,2,0.22950648398520765,0.11131064473282548,0.015303255938901417,0.10289258331348075
0x12aaa805f3b3c7b740e00d0ceed48ab471a30db2681bd895448c6ef1dd7ea7cf,13688963,1,1,2,0.24994696074193623,0.11572544282351625,0.02723690794378761,0.10698460997463236
0x131bde58a0bb496766cbc5e75d5c805fe2009ec07175308013a99d57fde78d97,13630104,1,1,2,0.013427085361662256,0.00342390676722381,0.00850294677565775,0.0015002318187806955
0x137667f0a0461c6d899fa0cf87699d3924a2a65ab794e605c09a7e0c8a78116e,13759149,0,1,2,0.01962044285299583,0.004512701856188988,0.01093681234887852,0.0041709286479283195
0x151a0d68e78b1a041a0063b1bfdb9509bbc7d77cc27e7320a7e2dd08bcc1a053,13719800,1,1,2,0.01504635471745576,0.002407416754792896,0.010388332871711314,0.0022506050909515494
0x15a03360787f2ad2c48da0c79f72caac77b964d8e2ab1bed2a09386a3f64ef5e,13635992,0,1,2,0.12111270177105907,0.0559540682182291,0.013602953001631602,0.05155568055119837
